timestamp,content,textblob_sentiment,vader_sentiment
2024-06-05 22:07:15,"$SPYAre people watching this? Cramer copying Jensen? Oh, .... My,... F'in,... God! 😂 
 
This is going to end in tears$nvda$qqq$tsla$btc.x",0.0,0.686
2024-06-05 22:05:49,$TSLAcheck out the volume on KITT right now,0.2857142857142857,0.0
2024-06-05 22:05:18,$TSLA👏Bullish,0.0,0.0
2024-06-05 22:02:59,"$TSLAElon Musk re-directed 12,000 Nvidia H100 GPU's ordered for X to Tesla in exchange.  This is the part of Nvidia's memo that no one brothered to read.$NVDA$SPY$QQQBullish",0.0,-0.296
2024-06-05 22:02:16,$TSLAit would neeed a news to make big moves now up or down,-0.07777777777777779,0.0
2024-06-05 22:01:05,$TSLAwould be real nice if this could go to 170 tomorrow,0.8999999999999999,0.4215
2024-06-05 22:01:05,$TSLAwould be real nice if this could go to 170 tomorrow,0.8999999999999999,0.4215
2024-06-05 21:59:29,$TSLAwhy green🤔?,0.0,0.0
2024-06-05 21:57:26,"$NVDAis beating$TSLAFOUR NOW!  Plenty of time before da crypto age. 

❤️👑🌈🦄",0.0,0.0
2024-06-05 21:38:30,Is the pair trade between$TSLAand$NVDAready to swap places?,0.0,0.0
2024-06-05 21:57:19,$TSLABullish,0.0,0.0
2024-06-05 21:56:49,"$TSLAthe opportunity cost on this has been extremely expensive. Anyone holding this while the market has been ripping has lost a lot of money. Not only that, they will lose at it continues to bleed downwardsBearish",-0.25,-0.296
2024-06-05 21:53:46,$TSLABelow $100 in the coming 1-2 months 🍽️  This move will be epicBearish,0.0,0.0
2024-06-05 21:53:20,$TSLAok so being long means missing out on the best bull market of my investing lifetime thus far. Is this autonomy or bust? If so there are other car companies starting to run 10s of thousands of driving scenarios thanks to NVDA. Feels like tesla is losing his edge. Been investing since 2020.,0.13214285714285715,0.7003
2024-06-05 21:51:37,$TSLAIt’s kind of treading water here at $175. Sink or swim?,0.6,0.0
2024-06-05 21:48:59,"Not a single person is expecting this to do anything before the annual meeting,$TSLAbounced right off the flattening 50SMA, and today's low was one penny above the gap up highs. I love these double doji and/or hammer patterns off key areas. I'd use today's low and yesterday's highs as entry points.",0.10267857142857142,0.25
2024-06-05 21:48:44,$TSLAI think this will be 300 in a couple years,0.0,0.0
2024-06-05 21:48:18,$MNDR$TSLA$BTC.X$AAPL$PLTRThe metamorphosis of EminemBullish,0.0,0.0
2024-06-05 21:47:18,$TSLAYin and Yang Doji Pattern. ☯️,0.0,0.0
2024-06-05 21:47:04,$TSLA>>>>>>>$ASNS++++++Bullish,0.0,0.0
2024-06-05 21:45:24,$TSLASupport. Resistance. Bulls Vs. Bears and the Great Unknown....,0.35000000000000003,0.6249
2024-06-05 21:42:40,$TSLA,0.0,0.0
2024-06-05 21:41:04,$TSLABull flagBullish,0.0,0.0
2024-06-05 21:40:43,$TSLAI give it one more day of chop before breaking up or down,0.17222222222222222,0.0
2024-06-05 21:39:17,$AMC$GME$TSLAstreamable.com/pj4cj9Bullish,0.0,0.0
2024-06-05 21:38:30,Is the pair trade between$TSLAand$NVDAready to swap places?,0.0,0.0
2024-06-05 21:36:04,$TSLAfool.com/investing/2024/06/...Bullish,0.0,0.0
2024-06-05 21:30:36,$TSLAtrashla broke off the wedge and is looking to fill that 168 gap before any upside,0.0,-0.4215
2024-06-05 21:19:19,$TSLAthe way this Daily candle rejected lower prices in this consolidation says this thing is blowing the top off.,0.25,-0.5719
2024-06-05 21:17:57,$TSLAWatch the market makers squeeze this over $200 before the 13th. Ron Barons call supporting Elons package is the catalyst.  Let’s moon🤷🏽‍♂️Bullish,0.125,0.4404
