date,time,type,symbol,action,quantity,price,amount,fees,details
5/15/2024,9:55:00 AM,option,TSLA $197.5 Call 5/24/2024,BTO,1,0.42,42,0,,
5/15/2024,9:13:00 AM,option,TSLA $180 Call 5/17/2024,BTO,1,0.96,96,0,,
5/15/2024,9:10:00 AM,option,TSLA $180 Call 5/17/2024,BTO,2,0.99,198,0,,
5/15/2024,9:04:00 AM,option,TSLA $182.5 Call 5/17/2024,BTO,2,0.74,148,0,,
5/15/2024,8:37:00 AM,option,TSLA $180 Call 5/17/2024,BTO,5,1.14,569.9999999999999,0,,
5/15/2024,8:34:00 AM,option,TSLA $180 Call 5/17/2024,BTO,2,1.46,292,0,,
5/15/2024,8:32:00 AM,option,TSLA $180 Call 5/17/2024,BTO,2,1.71,342,0,,
5/15/2024,8:31:00 AM,option,TSLA $180 Call 5/17/2024,BTO,1,2.2,220.00000000000003,0,,
5/14/2024,9:12:00 AM,option,TSLA $170 Put 5/17/2024,STC,1,1.24,124,0,,
5/14/2024,9:12:00 AM,option,TSLA $170 Put 5/17/2024,STC,1,1.19,119,0,,
5/14/2024,9:10:00 AM,option,TSLA $170 Put 5/17/2024,STC,1,1.28,128,0,,
5/14/2024,9:03:00 AM,option,TSLA $170 Put 5/17/2024,STC,2,1.3,260,0,,
5/14/2024,8:48:00 AM,option,TSLA $170 Put 5/17/2024,BTO,2,1.01,202,0,,
5/14/2024,8:47:00 AM,option,TSLA $170 Put 5/17/2024,BTO,1,1,100,0,,
5/14/2024,8:42:00 AM,option,TSLA $170 Put 5/17/2024,BTO,2,1.21,242,0,,
5/14/2024,8:40:00 AM,option,TSLA $185 Call 5/17/2024,STC,3,0.85,254.99999999999997,0,,
5/14/2024,8:37:00 AM,option,TSLA $185 Call 5/17/2024,BTO,2,1.13,225.99999999999997,0,,
5/14/2024,8:34:00 AM,option,TSLA $185 Call 5/17/2024,BTO,1,0.99,99,0,,
5/14/2024,8:30:00 AM,stock,RYCEY,Buy,1,5.24,5.24,0,,
5/13/2024,12:42:00 PM,option,TSLA $167.5 Put 5/17/2024,STC,1,1.77,177,0,,
5/13/2024,11:15:00 AM,stock,RYCEY,Buy,2,5.24,10.48,0,,
5/13/2024,8:49:00 AM,option,TSLA $167.5 Put 5/17/2024,STC,3,1.56,468,0,,
5/13/2024,8:44:00 AM,option,TSLA $167.5 Put 5/17/2024,BTO,1,1.68,168,0,,
5/13/2024,8:39:00 AM,option,TSLA $167.5 Put 5/17/2024,BTO,1,1.84,184,0,,
5/13/2024,8:37:00 AM,option,TSLA $167.5 Put 5/17/2024,BTO,1,1.92,192,0,,
5/13/2024,8:35:00 AM,option,TSLA $167.5 Put 5/17/2024,BTO,1,2.09,209,0,,
5/13/2024,8:35:00 AM,option,TSLA $177.5 Call 5/17/2024,STC,1,1.19,119,0,,
5/13/2024,8:33:00 AM,option,TSLA $177.5 Call 5/17/2024,BTO,1,1.03,103,0,,
5/13/2024,8:32:00 AM,option,TSLA $162.5 Put 5/17/2024,STC,1,1.16,115.99999999999999,0,,
5/13/2024,8:31:00 AM,option,TSLA $162.5 Put 5/17/2024,BTO,1,0.98,98,0,,
5/9/2024,9:58:00 AM,option,TSLA $170 Put 5/10/2024,STC,1,0.87,87,0,,
5/9/2024,9:56:00 AM,option,TSLA $170 Put 5/10/2024,STC,1,0.86,86,0,,
5/9/2024,9:56:00 AM,option,TSLA $170 Put 5/10/2024,STC,4,0.84,336,0,,
5/9/2024,9:55:00 AM,option,TSLA $170 Put 5/10/2024,STC,3,0.82,246,0,,
5/9/2024,8:59:00 AM,option,TSLA $170 Put 5/10/2024,BTO,4,0.63,252,0,,
5/9/2024,8:56:00 AM,option,TSLA $170 Put 5/10/2024,BTO,2,0.7,140,0,,
5/9/2024,8:51:00 AM,option,TSLA $170 Put 5/10/2024,BTO,2,0.76,152,0,,
5/9/2024,8:49:00 AM,option,TSLA $170 Put 5/10/2024,STC,2,0.94,188,0,,
5/9/2024,8:49:00 AM,option,TSLA $170 Put 5/10/2024,STC,2,0.88,176,0,,
5/9/2024,8:45:00 AM,option,TSLA $170 Put 5/10/2024,BTO,2,0.76,152,0,,
5/9/2024,8:36:00 AM,option,TSLA $170 Put 5/10/2024,BTO,2,0.86,172,0,,
5/9/2024,8:32:00 AM,option,TSLA $170 Put 5/10/2024,BTO,1,0.75,75,0,,
5/8/2024,11:20:00 AM,option,QQQ $435 Put 5/9/2024,STC,1,0.25,25,0,,
5/8/2024,11:07:00 AM,option,TSLA $190 Call 5/17/2024,STC,1,0.87,87,0,,
5/8/2024,10:52:00 AM,option,TSLA $190 Call 5/17/2024,STC,2,1.02,204,0,,
5/8/2024,10:49:00 AM,option,TSLA $190 Call 5/17/2024,STC,1,1.03,103,0,,
5/8/2024,10:49:00 AM,option,TSLA $190 Call 5/17/2024,STC,3,1.01,303,0,,
5/8/2024,9:54:00 AM,option,PINS $39.5 Put 5/10/2024,STC,1,0.01,1,0,,
5/8/2024,9:03:00 AM,option,QQQ $435 Put 5/9/2024,BTO,1,0.42,42,0,,
5/8/2024,8:54:00 AM,option,TSLA $190 Call 5/17/2024,BTO,2,0.75,150,0,,
5/8/2024,8:50:00 AM,option,UBER $65 Put 5/10/2024,STC,3,0.65,195.00000000000003,0,,
5/8/2024,8:49:00 AM,option,UBER $65 Put 5/10/2024,BTO,2,0.53,106,0,,
5/8/2024,8:38:00 AM,option,UBER $65 Put 5/10/2024,BTO,1,0.86,86,0,,
5/8/2024,8:34:00 AM,option,TSLA $190 Call 5/17/2024,BTO,1,0.66,66,0,,
5/8/2024,8:32:00 AM,option,TSLA $190 Call 5/17/2024,BTO,3,0.63,189,0,,
5/8/2024,8:31:00 AM,option,TSLA $190 Call 5/10/2024,STC,2,0.08,16,0,,
5/7/2024,10:42:00 AM,option,ACB $11 Call 5/10/2024,STC,1,0.01,1,0,,
5/7/2024,10:28:00 AM,option,PINS $39.5 Put 5/10/2024,BTO,1,0.04,4,0,,
5/7/2024,8:51:00 AM,option,TSLA $190 Call 5/17/2024,BTO,1,2.02,202,0,,
