date,symbol,action,quantity,price,status
2024-05-14T13:30:00.236971Z,RYCEY,buy,1.0,5.24,filled
2024-05-13T16:15:14.727072Z,RYCEY,buy,2.0,5.24,filled
2024-04-10T13:34:42.044720Z,TSLA,sell,6.757488,174.355,filled
2024-04-09T14:48:44.863554Z,TSLA,buy,6.757488,176.7994,filled
2024-04-09T13:13:30.168073Z,TSLA,sell,12.687213,173.85,filled
2024-04-08T20:02:19.513383Z,TSLA,buy,1.080054,173.075,filled
2024-04-08T19:42:20.693200Z,TSLA,buy,11.578167,172.7389,filled
2024-04-05T13:34:16.605915Z,TSLA,sell,6.0,169.21,filled
2024-04-04T19:12:08.240281Z,TSLA,buy,6.0,171.31,filled
2024-02-20T15:59:13.559216Z,TLRY,sell,13.0,1.8343,filled
2024-02-01T14:42:12.381511Z,TLRY,sell,1.0,1.9217,filled
2024-02-01T14:41:22.632899Z,TLRY,sell,1.0,1.9003,filled
2024-01-18T16:48:39.708473Z,TLRY,buy,15.0,2.0,filled
2023-12-19T14:42:29.240079Z,TSLA,sell,37.349114,254.585,filled
2023-12-18T17:13:09.848925Z,TSLA,buy,37.0,253.783,filled
2023-12-18T16:12:48.167376Z,SQ,sell,127.182042,73.955,filled
2023-12-18T16:05:33.336291Z,SQ,buy,122.382376,73.54,filled
2023-12-18T15:32:49.904624Z,SQ,buy,4.691796,73.75,filled
2023-12-18T05:57:16.748279Z,SQ,sell,107.0,74.65,filled
2023-12-15T18:45:54.913302Z,SQ,buy,107.10787,73.8,filled
2023-12-15T16:18:09.203313Z,TSLA,buy,0.349114,250.405,filled
2023-12-12T14:33:15.234636Z,TSLA,sell,23.174523,236.09,filled
2023-12-11T15:09:34.357766Z,TSLA,buy,23.174523,240.54,filled
2023-12-11T14:33:41.238301Z,TSLA,sell,19.915359,241.5888,filled
2023-12-11T14:33:23.203387Z,TSLA,sell,19.0,242.5,cancelled
2023-12-08T17:16:55.014078Z,TSLA,buy,19.915359,241.02,filled
2023-12-08T14:30:58.856872Z,TSLA,sell,20.191187,240.18,filled
2023-12-07T18:09:57.777430Z,TSLA,buy,10.396277,241.245,filled
2023-12-07T15:25:00.702054Z,TSLA,buy,9.79491,240.3677,filled
2023-11-29T14:29:07.030907Z,TSLA,sell,0.977919,249.062,filled
2023-11-28T15:17:59.743288Z,TSLA,buy,0.977919,236.18,filled
2023-11-28T14:31:02.463352Z,TSLA,sell,0.46777,237.375,filled
2023-11-27T15:29:43.117907Z,TSLA,buy,0.46777,234.2646,filled
2023-08-23T14:31:39.051124Z,TSLA,sell,4.653516,234.8719,filled
2023-08-23T14:18:27.286831Z,TSLA,buy,4.653516,233.157,filled
2023-08-18T17:04:53.597900Z,SDIV,sell,0.069444,21.795,filled
2023-07-13T13:34:59.357939Z,QQQ,sell,2.426366,376.4,filled
2023-07-12T16:10:04.138472Z,QQQ,buy,2.426366,370.9269,filled
2023-07-13T14:52:50.843605Z,QQQ,buy,1.0,144.0,cancelled
2023-07-12T15:13:30.458094Z,QQQ,buy,1.0,0.01,rejected
2023-05-04T13:52:43.129302Z,SPY,sell,2.0,405.2101,filled
2023-05-03T19:40:35.198059Z,SPY,buy,2.0,408.1099,filled
2023-04-21T18:10:08.936104Z,TSLA,sell,2.0,165.5101,filled
2023-04-20T17:36:00.390974Z,TSLA,buy,2.0,164.1657,filled
2023-04-17T13:30:48.392407Z,LCID,sell,1.0,7.6831,filled
2023-04-17T13:30:30.840432Z,SDIV,sell,6.949592,23.0348,filled
2023-04-17T13:30:40.686501Z,SQ,sell,2.0,63.61,filled
2023-04-17T14:37:26.623097Z,SDIV,buy,0.069444,23.04,filled
2023-04-04T15:13:07.616773Z,SQ,sell,2.0,68.0026,filled
2023-04-03T15:12:09.399897Z,SQ,buy,2.0,65.9237,filled
2023-03-28T19:08:06.519913Z,LCID,buy,1.0,7.56,filled
2023-03-28T13:40:52.533761Z,SDIV,buy,4.0,22.4497,filled
2023-03-23T14:41:57.167540Z,SQ,buy,2.0,63.1797,filled
2023-03-22T18:47:19.203576Z,SDIV,buy,2.949592,22.715,filled
2023-01-31T16:31:57.755851Z,SQ,sell,2.093844,82.005,filled
2023-01-30T16:03:05.353259Z,SQ,buy,2.093844,81.305,filled
2023-01-26T17:38:49.821306Z,HOOD,sell,0.230163,9.755,filled
2023-01-26T17:38:38.219986Z,TSLA,sell,0.097413,156.955,filled
2023-01-26T17:38:28.830429Z,AMZN,sell,0.18062,97.975,filled
2023-01-26T17:38:19.257384Z,AMD,sell,0.219454,74.765,filled
2023-01-26T17:37:07.963504Z,QQQ,sell,0.114046,291.075,filled
